job_title,job_description,location,experience_text,source,company,salary_text,salary_lpa,salary_source,exp_min,exp_max,exp_mid,exp_band,tier,text_for_nlp,skills_extracted,skill_count,salary_disclosed
Lead Data Analyst,analytics| monitoring| sql| computer science| process automation| automation| assurance| analytical| predictive modeling| business solutions,Bengaluru,5 - 7 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,16.4,estimated,5,7,6.0,5-8 yrs (Senior),Startup/Other,lead data analyst analytics| monitoring| sql| computer science| process automation| automation| assurance| analytical| predictive modeling| business solutions,['SQL'],1,
Business / Product Analytics,automation| business analysis| analytics| sql| tracking| microsoft excel| continuous improvement| browsing,Bengaluru,2 - 5 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,9.95,estimated,2,5,3.5,3-5 yrs (Mid),Startup/Other,business / product analytics automation| business analysis| analytics| sql| tracking| microsoft excel| continuous improvement| browsing,"['SQL', 'Excel']",2,
Speech Scientist - Artificial Intelligence/ Machine Learning,c++| artificial intelligence| natural language processing| computer vision| machine learning| deep learning,"Bengaluru,Delhi,Gurgaon,Chennai,Hyderabad",9 - 14 yrs,naukri_30k,Unknown," 15,00,000 - 18,00,000 PA. ",16.5,disclosed,9,14,11.5,8+ yrs (Lead),Startup/Other,speech scientist - artificial intelligence/ machine learning c++| artificial intelligence| natural language processing| computer vision| machine learning| deep learning,"['Machine Learning', 'NLP', 'C++']",3,16.5
Team Lead Analytics,performance tuning| erp| ms sql| change management| sap| front end| project management| ssrs| ssis| analytics,Bengaluru,12 - 17 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,22.17,estimated,12,17,14.5,8+ yrs (Lead),Startup/Other,team lead analytics performance tuning| erp| ms sql| change management| sap| front end| project management| ssrs| ssis| analytics,"['ETL', 'SQL']",2,
Big Data Architect - Azure - IT,data architect| data management| big data| data visualization| data warehousing| data analytics| machine learning| analytics| sql,Bengaluru,10 - 20 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,26.0,estimated,10,20,15.0,8+ yrs (Lead),Startup/Other,big data architect - azure - it data architect| data management| big data| data visualization| data warehousing| data analytics| machine learning| analytics| sql,"['Data Visualization', 'Machine Learning', 'Spark', 'Azure', 'SQL']",5,
Manager Analytics,r| project management| sas| statistical modelling| python,Bengaluru,5 - 10 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,13.85,estimated,5,10,7.5,5-8 yrs (Senior),Startup/Other,manager analytics r| project management| sas| statistical modelling| python,"['SAS', 'Python', 'Statistics', 'R']",4,
BI & Analytics Engineer,data science| predictive modeling| r| alteryx| data analysis| tableau| data analytics| sql| python| marketing,Bengaluru,6 - 7 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,14.08,estimated,6,7,6.5,5-8 yrs (Senior),Startup/Other,bi & analytics engineer data science| predictive modeling| r| alteryx| data analysis| tableau| data analytics| sql| python| marketing,"['Tableau', 'SQL', 'Python', 'R']",4,
"Python Developer - Analytics, Bangalore",analytics| python| data science,Bengaluru,2 - 5 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,10.64,estimated,2,5,3.5,3-5 yrs (Mid),Startup/Other,"python developer - analytics, bangalore analytics| python| data science",['Python'],1,
Data Engineer - Aryaka Bangalore,hive| python| java| mapreduce| spark| cassandra| mysql| big data| hbase| pig,Bengaluru,7 - 12 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,22.54,estimated,7,12,9.5,8+ yrs (Lead),Startup/Other,data engineer - aryaka bangalore hive| python| java| mapreduce| spark| cassandra| mysql| big data| hbase| pig,"['SQL', 'Python', 'NoSQL', 'Spark']",4,
Adobe Analytics Engineer - Cq/aem,analytics| cq| aem| java| scrum| agile| ci| cd,Bengaluru,4 - 9 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,15.68,estimated,4,9,6.5,5-8 yrs (Senior),Startup/Other,adobe analytics engineer - cq/aem analytics| cq| aem| java| scrum| agile| ci| cd,['Agile'],1,
Associate - Strategic Analytics Business Cards Acquisitions),technology| finance| operations| human resources,"Bengaluru,Bangalore East",0 - 5 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,6.06,estimated,0,5,2.5,1-3 yrs (Junior),Startup/Other,associate - strategic analytics business cards acquisitions) technology| finance| operations| human resources,[],0,
Lead Business Analyst (SI-0030-N1C),data analysis| customer service| help desk| information| telephony support| customer relationship| access controls| vendor management| asset management,Bengaluru,10 - 13 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,19.18,estimated,10,13,11.5,8+ yrs (Lead),Startup/Other,lead business analyst (si-0030-n1c) data analysis| customer service| help desk| information| telephony support| customer relationship| access controls| vendor management| asset management,[],0,
Java Architect - Mlp/analytics,java| analytics| algorithm| it service delivery| project management,"Bengaluru,Gurgaon",9 - 12 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,24.93,estimated,9,12,10.5,8+ yrs (Lead),Startup/Other,java architect - mlp/analytics java| analytics| algorithm| it service delivery| project management,['Java'],1,
Assistant Manager/ Manager - Business Analyst/sas - Consulting Firm,sas| data management| statistical modeling| statistics| analytics| sql| business analysis,"Bengaluru,Gurgaon",2 - 7 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,10.46,estimated,2,7,4.5,3-5 yrs (Mid),Startup/Other,assistant manager/ manager - business analyst/sas - consulting firm sas| data management| statistical modeling| statistics| analytics| sql| business analysis,"['SAS', 'SQL', 'ETL', 'Statistics']",4,
Senior Business Analyst Digital Innovation,business analyst| agile development| production| agile| advocate| digital transformation| product strategy,Bengaluru,13 - 17 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,22.58,estimated,13,17,15.0,8+ yrs (Lead),Startup/Other,senior business analyst digital innovation business analyst| agile development| production| agile| advocate| digital transformation| product strategy,"['Git', 'Agile']",2,
Excellent Opportunity in Data Analytics [bangalore,etl| data modeling| data visualization| data warehousing| dw| data analytics| sas| data reporting| data analysis| cloud| bi| big data,Bengaluru,11 - 13 yrs,naukri_30k,Unknown," 16,00,000 - 20,00,000 PA. ",18.0,disclosed,11,13,12.0,8+ yrs (Lead),Startup/Other,excellent opportunity in data analytics [bangalore etl| data modeling| data visualization| data warehousing| dw| data analytics| sas| data reporting| data analysis| cloud| bi| big data,"['Data Visualization', 'ETL', 'SAS', 'Spark', 'Data Modeling', 'Excel']",6,18.0
Data Engineer,python| six sigma| .net| html| javascript| sql| oracle| assembly language| real time operating systems,"Bengaluru,Delhi",2 - 5 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,9.84,estimated,2,5,3.5,3-5 yrs (Mid),Startup/Other,data engineer python| six sigma| .net| html| javascript| sql| oracle| assembly language| real time operating systems,"['SQL', 'Python']",2,
Automation Solution Architect - Machine Learning,nlp| artificial intelligence| solution design| machine learning| solution architect| deep learning| cto,Bengaluru,10 - 16 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,25.09,estimated,10,16,13.0,8+ yrs (Lead),Startup/Other,automation solution architect - machine learning nlp| artificial intelligence| solution design| machine learning| solution architect| deep learning| cto,"['Machine Learning', 'NLP']",2,
Big Data Engineer,linux| python| agile| configuration management| http| jira| japanese| smtp| version control| scala,Bengaluru,1 - 5 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,7.46,estimated,1,5,3.0,1-3 yrs (Junior),Startup/Other,big data engineer linux| python| agile| configuration management| http| jira| japanese| smtp| version control| scala,"['Python', 'Agile', 'Spark', 'Git', 'Scala']",5,
Consultant FRC Analytics,oracle| consulting| analytics| financial services| data warehousing| business executive,Bengaluru,5 - 7 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,13.62,estimated,5,7,6.0,5-8 yrs (Senior),Startup/Other,consultant frc analytics oracle| consulting| analytics| financial services| data warehousing| business executive,[],0,
Big Data Architect,hive| elastic search| big data| hbase| apache spark,Bengaluru,9 - 12 yrs,naukri_30k,Unknown," 10,00,000 - 20,00,000 PA. ",15.0,disclosed,9,12,10.5,8+ yrs (Lead),Startup/Other,big data architect hive| elastic search| big data| hbase| apache spark,"['SQL', 'Spark']",2,15.0
Business Analyst-Subject Matter Expert,automation| change management| infrastructure management| project management| genetics| application development| business process management| continuous improvement| operations| digital transformation,Bengaluru,2 - 5 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,10.44,estimated,2,5,3.5,3-5 yrs (Mid),Startup/Other,business analyst-subject matter expert automation| change management| infrastructure management| project management| genetics| application development| business process management| continuous improvement| operations| digital transformation,['Git'],1,
Data Scientist / Data Science Trainer - Python & R - Deep Learning,data science| deep learning| r| python| statistics| sas,"Bengaluru,Chennai,Delhi,Mumbai,Delhi NCR,Pune,Kolkata,Ahmedabad",8 - 10 yrs,naukri_30k,Unknown," 12,00,000 - 15,00,000 PA. ",13.5,disclosed,8,10,9.0,8+ yrs (Lead),Startup/Other,data scientist / data science trainer - python & r - deep learning data science| deep learning| r| python| statistics| sas,"['Machine Learning', 'SAS', 'Statistics', 'R', 'Python']",5,13.5
Business Analyst,web development| jira| business process| analytical| competitive analysis| business analyst| us process| manager quality control| advocate| database,Bengaluru,2 - 7 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,9.82,estimated,2,7,4.5,3-5 yrs (Mid),Startup/Other,business analyst web development| jira| business process| analytical| competitive analysis| business analyst| us process| manager quality control| advocate| database,['Agile'],1,
opening for Data Scientist_Hyderabad,sql| hive| python| r| shell| shell.,"Hyderabad,Bengaluru,Chennai,Pune,Anantapur,Angul,Ankleshwar,Bareilly,Bellary",2 - 6 yrs,naukri_30k,Unknown," 6,50,000 - 16,50,000 PA. ",11.5,disclosed,2,6,4.0,3-5 yrs (Mid),Startup/Other,opening for data scientist_hyderabad sql| hive| python| r| shell| shell.,"['SQL', 'Python', 'R']",3,11.5
Big Data Developer,hive| sqoop| hadoop| big data,"Bengaluru,Chennai",4 - 7 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,16.52,estimated,4,7,5.5,5-8 yrs (Senior),Startup/Other,big data developer hive| sqoop| hadoop| big data,"['SQL', 'Spark']",2,
HSBC - AVP - Business Analyst - Retail Banking & Wealth Management,change management| retail banking| requirement gathering| business transformation| business strategy| business analysis| agile,"Bengaluru,Hyderabad",9 - 13 yrs,naukri_30k,Unknown," 14,00,000 - 24,00,000 PA. ",19.0,disclosed,9,13,11.0,8+ yrs (Lead),Startup/Other,hsbc - avp - business analyst - retail banking & wealth management change management| retail banking| requirement gathering| business transformation| business strategy| business analysis| agile,['Agile'],1,19.0
Business Analyst,business analysis| business analyst| crm| cms| erp| agile methodology,Bengaluru (Vasanth nagar),2 - 5 yrs,naukri_30k,Unknown," 2,00,000 - 4,50,000 PA. ",3.25,disclosed,2,5,3.5,3-5 yrs (Mid),Startup/Other,business analyst business analysis| business analyst| crm| cms| erp| agile methodology,['Agile'],1,3.25
SENIOR BIG DATA DEV OPS ENGINEER,c++| sql| linux| performance tuning| server| development| technical| software| virtualization| windows| tools| quality| cloud| ms sql| database| application| information security| mysql| design| application development| support| python,Bengaluru,5 - 10 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,16.03,estimated,5,10,7.5,5-8 yrs (Senior),Startup/Other,senior big data dev ops engineer c++| sql| linux| performance tuning| server| development| technical| software| virtualization| windows| tools| quality| cloud| ms sql| database| application| information security| mysql| design| application development| support| python,"['C++', 'SQL', 'Python', 'Spark']",4,
GeoSpatial Analytics ( TC ),copyright| apr| education| application programming| contractors| time| engineering design| analytics| open,Bengaluru,3 - 5 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,11.19,estimated,3,5,4.0,3-5 yrs (Mid),Startup/Other,geospatial analytics ( tc ) copyright| apr| education| application programming| contractors| time| engineering design| analytics| open,[],0,
Data Scientist,sas| hadoop| r| hive| sql| machine learning| time series| big data analytics| predictive modeling| statistics,Bengaluru,5 - 9 yrs,naukri_30k,Unknown," 13,00,000 - 19,00,000 PA. ",16.0,disclosed,5,9,7.0,5-8 yrs (Senior),Startup/Other,data scientist sas| hadoop| r| hive| sql| machine learning| time series| big data analytics| predictive modeling| statistics,"['Machine Learning', 'SAS', 'Spark', 'Statistics', 'R', 'SQL']",6,16.0
Supply Chain Analytics Consultant,order management| supply chain| san| career development| sales operations| analytical| consulting| cash flow| customer service| software services,Bengaluru,6 - 8 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,14.98,estimated,6,8,7.0,5-8 yrs (Senior),Startup/Other,supply chain analytics consultant order management| supply chain| san| career development| sales operations| analytical| consulting| cash flow| customer service| software services,[],0,
Data Scientist,data mining| mapping| business intelligence| data modeling| statistical analysis| machine learning| python| r| matlab,Bengaluru,2 - 6 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,10.52,estimated,2,6,4.0,3-5 yrs (Mid),Startup/Other,data scientist data mining| mapping| business intelligence| data modeling| statistical analysis| machine learning| python| r| matlab,"['Machine Learning', 'Statistics', 'R', 'Data Modeling', 'MATLAB', 'Python']",6,
Analytics Lead,predictive analytics| data analysis| data mining| advanced excel| macros| data reporting| dashboards| data modeling| data collection| quality standards,Bengaluru,4 - 7 yrs,naukri_30k,Unknown, Best in the Industry ,16.39,estimated,4,7,5.5,5-8 yrs (Senior),Startup/Other,analytics lead predictive analytics| data analysis| data mining| advanced excel| macros| data reporting| dashboards| data modeling| data collection| quality standards,"['Plotly', 'Data Modeling', 'Excel']",3,
Associate Manager / Manager Data Scientist,associate manager / manager data scientist,"Gurgaon,Bengaluru",7 - 10 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,19.56,estimated,7,10,8.5,8+ yrs (Lead),Startup/Other,associate manager / manager data scientist associate manager / manager data scientist,[],0,
Business Analyst (SAP) - Pharmaceutical Co. - Hosur Road,data analysis| mis| pmp| report generation| ad hoc reports| business information| data analytics| pharma analytics| sap,Bengaluru,3 - 8 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,15.25,estimated,3,8,5.5,5-8 yrs (Senior),Startup/Other,business analyst (sap) - pharmaceutical co. - hosur road data analysis| mis| pmp| report generation| ad hoc reports| business information| data analytics| pharma analytics| sap,[],0,
PAYMENTS DATA ANALYST,google analytics| rdbms| analytical| network security| data analyst| http| system software| data warehousing| sql| python,Bengaluru,3 - 6 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,9.65,estimated,3,6,4.5,3-5 yrs (Mid),Startup/Other,payments data analyst google analytics| rdbms| analytical| network security| data analyst| http| system software| data warehousing| sql| python,"['GCP', 'SQL', 'Python']",3,
Java with Big Data Professional,java| hadoop| hive| j2ee| spring boot| mockito| hbase| pig| junit| microservices| sql| git| jenkins,Bengaluru,3 - 5 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,10.05,estimated,3,5,4.0,3-5 yrs (Mid),Startup/Other,java with big data professional java| hadoop| hive| j2ee| spring boot| mockito| hbase| pig| junit| microservices| sql| git| jenkins,"['SQL', 'Java', 'Git', 'Spark']",4,
Business Analyst(5-7 Years):good at Accounting and Loan life Cycle,accounting| loans| general ledger| journal entries| general accounting| requirement gathering| emi| loan| mortgage,Bengaluru,5 - 7 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,15.24,estimated,5,7,6.0,5-8 yrs (Senior),Startup/Other,business analyst(5-7 years):good at accounting and loan life cycle accounting| loans| general ledger| journal entries| general accounting| requirement gathering| emi| loan| mortgage,[],0,
Senior Manager - Data Analytics/sas - Banking Firm,nlp| sas| data management| data analytics| statistics| machine learning| analytics| business analysis| predictive analytics,Bengaluru,8 - 12 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,26.85,estimated,8,12,10.0,8+ yrs (Lead),Startup/Other,senior manager - data analytics/sas - banking firm nlp| sas| data management| data analytics| statistics| machine learning| analytics| business analysis| predictive analytics,"['SAS', 'NLP', 'Machine Learning', 'Statistics']",4,
Business Analyst,business strategy|requirements management|pmp|business process re - engineering|business reporting|finance|visio|prince2|business case|business analysis,Bengaluru, 9 - 12 Years,naukri_30k,Unknown,Openings: 2,22.34,estimated,9,12,10.5,8+ yrs (Lead),Startup/Other,business analyst business strategy|requirements management|pmp|business process re - engineering|business reporting|finance|visio|prince2|business case|business analysis,[],0,
Data Scientist,nlp| data science,Bengaluru (Whitefield),7 - 12 yrs,naukri_30k,Unknown," 15,00,000 - 30,00,000 PA. ",22.5,disclosed,7,12,9.5,8+ yrs (Lead),Startup/Other,data scientist nlp| data science,['NLP'],1,22.5
Business Analyst-credit Cards Domain-8 to 16yrs - Attra Infotech,business analyst| credit cards| credit card,"Bengaluru (Electronic City) ,Pune (1) ,Hyderabad (1) ,...More",8 - 13 yrs,naukri_30k,Unknown," 20,00,000 - 35,00,000 PA. ",27.5,disclosed,8,13,10.5,8+ yrs (Lead),Startup/Other,business analyst-credit cards domain-8 to 16yrs - attra infotech business analyst| credit cards| credit card,[],0,27.5
HUGE Openings For MIS Executive / Data Analyst / Direct Walk IN,new projects| operations management| mis preparation| data analysis| mis reporting| formulas| pivot table| vlookup| warehouse| excel powerpoint| vba| mis| supply chain management| database analyst| bpo operations,Bengaluru,1 - 4 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,6.44,estimated,1,4,2.5,1-3 yrs (Junior),Startup/Other,huge openings for mis executive / data analyst / direct walk in new projects| operations management| mis preparation| data analysis| mis reporting| formulas| pivot table| vlookup| warehouse| excel powerpoint| vba| mis| supply chain management| database analyst| bpo operations,['Excel'],1,
Jr. Data Scientist,predictive modeling| big data analytics| hadoop| spark| predictive analytics,Bengaluru,1 - 3 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,7.66,estimated,1,3,2.0,1-3 yrs (Junior),Startup/Other,jr. data scientist predictive modeling| big data analytics| hadoop| spark| predictive analytics,['Spark'],1,
Software Architect - Big data and Cloud,python| six sigma| pmp| .net| html| javascript| sql| oracle| assembly language| real time operating systems,Bengaluru,3 - 5 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,10.22,estimated,3,5,4.0,3-5 yrs (Mid),Startup/Other,software architect - big data and cloud python| six sigma| pmp| .net| html| javascript| sql| oracle| assembly language| real time operating systems,"['SQL', 'Python', 'Spark']",3,
"Urgent Requirement Data analytics Openings On Top MNC,Bangalore",sql| java| python| r| software development| vba| advanced excel| data analytics| c#| predictive modeling,Bengaluru,5 - 7 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,15.14,estimated,5,7,6.0,5-8 yrs (Senior),Startup/Other,"urgent requirement data analytics openings on top mnc,bangalore sql| java| python| r| software development| vba| advanced excel| data analytics| c#| predictive modeling","['R', 'SQL', 'Python', 'Excel']",4,
Senior Data Engineer,sql| automation| python| agile| system administration| monitoring| customer support| computer science| machine learning| analytical,Bengaluru,5 - 7 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,16.1,estimated,5,7,6.0,5-8 yrs (Senior),Startup/Other,senior data engineer sql| automation| python| agile| system administration| monitoring| customer support| computer science| machine learning| analytical,"['Machine Learning', 'SQL', 'Python', 'Agile']",4,
Big Data Developer / Big Data Lead Developer /Big Data Architect,apache| linux| php| development| technical| software| social media| developing| hbase| nosql| cloud| scripting| project support| rdbms| design| developer| hadoop| open source| ruby| pentaho| support| architecture| applications| hardware,"Bengaluru,Mumbai,Chennai",6 - 10 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,17.77,estimated,6,10,8.0,5-8 yrs (Senior),Startup/Other,big data developer / big data lead developer /big data architect apache| linux| php| development| technical| software| social media| developing| hbase| nosql| cloud| scripting| project support| rdbms| design| developer| hadoop| open source| ruby| pentaho| support| architecture| applications| hardware,"['SQL', 'NoSQL', 'Spark']",3,
INTERN DATA ANALYST,usage,Bengaluru,0 - 1 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,4.1,estimated,0,1,0.5,0-1 yr (Fresher),Startup/Other,intern data analyst usage,[],0,
SAS Consultant - Business Intelligence/visual Analytics,sas| data management| etl| teradata| macros| analytics,"Delhi NCR,Mumbai,Bengaluru",2 - 6 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,9.04,estimated,2,6,4.0,3-5 yrs (Mid),Startup/Other,sas consultant - business intelligence/visual analytics sas| data management| etl| teradata| macros| analytics,"['SAS', 'ETL', 'Excel']",3,
Business Analyst,business analysis| requirement gathering| visio| waterfall| agile| business applications| ms office tools| technical writing,Bengaluru,3 - 6 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,10.41,estimated,3,6,4.5,3-5 yrs (Mid),Startup/Other,business analyst business analysis| requirement gathering| visio| waterfall| agile| business applications| ms office tools| technical writing,['Agile'],1,
BDB Big Data Engineer,erp| team building| social media| data analysis| data mining| ideas| mysql| ms sql| big data| algorithms,"Bengaluru,Hyderabad",5 - 10 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,16.41,estimated,5,10,7.5,5-8 yrs (Senior),Startup/Other,bdb big data engineer erp| team building| social media| data analysis| data mining| ideas| mysql| ms sql| big data| algorithms,"['SQL', 'Spark']",2,
Senior Program Manager - Data Sciences,pmp| agile| scrum| product management| machine learning| jira| stakeholder management| rfp| analytics| automotive,"Bengaluru,Hosur",3 - 6 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,10.23,estimated,3,6,4.5,3-5 yrs (Mid),Startup/Other,senior program manager - data sciences pmp| agile| scrum| product management| machine learning| jira| stakeholder management| rfp| analytics| automotive,"['Machine Learning', 'Communication', 'Agile']",3,
Salesforce Einstein Analytics,,Bengaluru,5 - 10 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,15.73,estimated,5,10,7.5,5-8 yrs (Senior),Startup/Other,salesforce einstein analytics ,[],0,
Data Analytics,core java| rdbms| coding| metadata| paas| developing| data quality| hbase| messaging| nosql| java| apache| cassandra| scala| applications,Bengaluru,7 - 9 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,17.34,estimated,7,9,8.0,5-8 yrs (Senior),Startup/Other,data analytics core java| rdbms| coding| metadata| paas| developing| data quality| hbase| messaging| nosql| java| apache| cassandra| scala| applications,"['SQL', 'Scala', 'NoSQL']",3,
Associate_Data Scientist,analytics| sql| ms office| auditing| financial services| oracle| data mining| business operations| asset management| monitoring,Bengaluru,10 - 15 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,24.96,estimated,10,15,12.5,8+ yrs (Lead),Startup/Other,associate_data scientist analytics| sql| ms office| auditing| financial services| oracle| data mining| business operations| asset management| monitoring,['SQL'],1,
Data Analyst,supply chain| excel| pdf| database management| analytical| trend analysis| data analyst| advanced excel| management| ms office,Bengaluru,2 - 5 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,9.46,estimated,2,5,3.5,3-5 yrs (Mid),Startup/Other,data analyst supply chain| excel| pdf| database management| analytical| trend analysis| data analyst| advanced excel| management| ms office,['Excel'],1,
BUSINESS INTELLIGENCE DEVELOPER For AN IT ORGANISATION,loans| insurance processing| process| email| technical| ssrs| customer care| business intelligence| ssis| sql,"Bengaluru,Pune",3 - 4 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,10.3,estimated,3,4,3.5,3-5 yrs (Mid),Startup/Other,business intelligence developer for an it organisation loans| insurance processing| process| email| technical| ssrs| customer care| business intelligence| ssis| sql,"['ETL', 'SQL']",2,
